ano_mês,uf,produto,unid,venda,criado_em
2007-03,AC,Etanol Hidratado,m3,404.0,2022-09-10
2007-04,AC,Etanol Hidratado,m3,436.0,2022-09-10
2007-05,AC,Etanol Hidratado,m3,474.0,2022-09-10
2007-06,AC,Etanol Hidratado,m3,454.0,2022-09-10
2007-07,AC,Etanol Hidratado,m3,596.0,2022-09-10
2007-08,AC,Etanol Hidratado,m3,620.0,2022-09-10
2007-09,AC,Etanol Hidratado,m3,620.0,2022-09-10
2007-10,AC,Etanol Hidratado,m3,655.0,2022-09-10
2007-11,AC,Etanol Hidratado,m3,683.0,2022-09-10
2007-12,AC,Etanol Hidratado,m3,638.0,2022-09-10
2008-01,AC,Etanol Hidratado,m3,687.0,2022-09-10
2008-02,AC,Etanol Hidratado,m3,571.0,2022-09-10
2008-03,AC,Etanol Hidratado,m3,647.0,2022-09-10
2008-04,AC,Etanol Hidratado,m3,697.0,2022-09-10
2008-05,AC,Etanol Hidratado,m3,763.0,2022-09-10
2008-06,AC,Etanol Hidratado,m3,808.0,2022-09-10
2008-07,AC,Etanol Hidratado,m3,880.0,2022-09-10
2008-08,AC,Etanol Hidratado,m3,858.0,2022-09-10
2008-09,AC,Etanol Hidratado,m3,835.0,2022-09-10
2008-10,AC,Etanol Hidratado,m3,930.0,2022-09-10
2008-11,AC,Etanol Hidratado,m3,858.0,2022-09-10
2008-12,AC,Etanol Hidratado,m3,975.0,2022-09-10
2009-01,AC,Etanol Hidratado,m3,907.0,2022-09-10
2009-02,AC,Etanol Hidratado,m3,845.0,2022-09-10
2009-03,AC,Etanol Hidratado,m3,957.0,2022-09-10
2009-04,AC,Etanol Hidratado,m3,960.0,2022-09-10
2009-05,AC,Etanol Hidratado,m3,968.0,2022-09-10
2009-06,AC,Etanol Hidratado,m3,1.043,2022-09-10
2009-07,AC,Etanol Hidratado,m3,1.056,2022-09-10
2009-08,AC,Etanol Hidratado,m3,1.089,2022-09-10
2009-09,AC,Etanol Hidratado,m3,1.095,2022-09-10
2009-10,AC,Etanol Hidratado,m3,1.148,2022-09-10
2009-11,AC,Etanol Hidratado,m3,963.0,2022-09-10
2009-12,AC,Etanol Hidratado,m3,921.0,2022-09-10
2010-01,AC,Etanol Hidratado,m3,802.0,2022-09-10
2010-02,AC,Etanol Hidratado,m3,406.0,2022-09-10
2010-03,AC,Etanol Hidratado,m3,517.0,2022-09-10
2010-04,AC,Etanol Hidratado,m3,527.0,2022-09-10
2010-05,AC,Etanol Hidratado,m3,503.0,2022-09-10
2010-06,AC,Etanol Hidratado,m3,843.0,2022-09-10
2010-07,AC,Etanol Hidratado,m3,776.0,2022-09-10
2010-08,AC,Etanol Hidratado,m3,553.0,2022-09-10
2010-09,AC,Etanol Hidratado,m3,1.201,2022-09-10
2010-10,AC,Etanol Hidratado,m3,1.012,2022-09-10
2010-11,AC,Etanol Hidratado,m3,1.093,2022-09-10
2010-12,AC,Etanol Hidratado,m3,1.261,2022-09-10
2011-01,AC,Etanol Hidratado,m3,1.011,2022-09-10
2011-02,AC,Etanol Hidratado,m3,894.0,2022-09-10
2011-03,AC,Etanol Hidratado,m3,881.0,2022-09-10
2011-04,AC,Etanol Hidratado,m3,769.0,2022-09-10
2011-05,AC,Etanol Hidratado,m3,967.0,2022-09-10
2011-06,AC,Etanol Hidratado,m3,502.0,2022-09-10
2011-07,AC,Etanol Hidratado,m3,1.026,2022-09-10
2011-08,AC,Etanol Hidratado,m3,543.0,2022-09-10
2011-09,AC,Etanol Hidratado,m3,479.0,2022-09-10
2011-10,AC,Etanol Hidratado,m3,513.0,2022-09-10
2011-11,AC,Etanol Hidratado,m3,470.0,2022-09-10
2011-12,AC,Etanol Hidratado,m3,532.0,2022-09-10
2012-01,AC,Etanol Hidratado,m3,453.0,2022-09-10
2012-02,AC,Etanol Hidratado,m3,413.0,2022-09-10
2012-03,AC,Etanol Hidratado,m3,493.0,2022-09-10
2012-04,AC,Etanol Hidratado,m3,477.0,2022-09-10
2012-05,AC,Etanol Hidratado,m3,514.0,2022-09-10
2012-06,AC,Etanol Hidratado,m3,430.0,2022-09-10
2012-07,AC,Etanol Hidratado,m3,448.0,2022-09-10
2012-08,AC,Etanol Hidratado,m3,582.0,2022-09-10
2012-09,AC,Etanol Hidratado,m3,520.0,2022-09-10
2012-10,AC,Etanol Hidratado,m3,437.0,2022-09-10
2012-11,AC,Etanol Hidratado,m3,468.0,2022-09-10
2012-12,AC,Etanol Hidratado,m3,512.0,2022-09-10
2013-01,AC,Etanol Hidratado,m3,448.0,2022-09-10
2013-02,AC,Etanol Hidratado,m3,475.0,2022-09-10
2013-03,AC,Etanol Hidratado,m3,477.0,2022-09-10
2013-04,AC,Etanol Hidratado,m3,496.0,2022-09-10
2013-05,AC,Etanol Hidratado,m3,523.0,2022-09-10
2013-06,AC,Etanol Hidratado,m3,491.0,2022-09-10
2013-07,AC,Etanol Hidratado,m3,521.0,2022-09-10
2013-08,AC,Etanol Hidratado,m3,490.0,2022-09-10
2013-09,AC,Etanol Hidratado,m3,469.0,2022-09-10
2013-10,AC,Etanol Hidratado,m3,511.0,2022-09-10
2013-11,AC,Etanol Hidratado,m3,505.0,2022-09-10
2013-12,AC,Etanol Hidratado,m3,620.0,2022-09-10
2014-01,AC,Etanol Hidratado,m3,575.0,2022-09-10
2014-02,AC,Etanol Hidratado,m3,467.0,2022-09-10
2014-03,AC,Etanol Hidratado,m3,43.0,2022-09-10
2014-04,AC,Etanol Hidratado,m3,100.0,2022-09-10
2014-05,AC,Etanol Hidratado,m3,353.0,2022-09-10
2014-06,AC,Etanol Hidratado,m3,254.0,2022-09-10
2014-07,AC,Etanol Hidratado,m3,318.0,2022-09-10
2014-08,AC,Etanol Hidratado,m3,288.0,2022-09-10
2014-09,AC,Etanol Hidratado,m3,295.0,2022-09-10
2014-10,AC,Etanol Hidratado,m3,308.0,2022-09-10
2014-11,AC,Etanol Hidratado,m3,335.0,2022-09-10
2014-12,AC,Etanol Hidratado,m3,363.0,2022-09-10
2015-01,AC,Etanol Hidratado,m3,408.0,2022-09-10
2015-02,AC,Etanol Hidratado,m3,339.0,2022-09-10
2015-03,AC,Etanol Hidratado,m3,496.0,2022-09-10
2015-04,AC,Etanol Hidratado,m3,480.0,2022-09-10
2015-05,AC,Etanol Hidratado,m3,458.0,2022-09-10
2015-06,AC,Etanol Hidratado,m3,430.0,2022-09-10
2015-07,AC,Etanol Hidratado,m3,475.0,2022-09-10
2015-08,AC,Etanol Hidratado,m3,444.0,2022-09-10
2015-09,AC,Etanol Hidratado,m3,575.0,2022-09-10
2015-10,AC,Etanol Hidratado,m3,1.022,2022-09-10
2015-11,AC,Etanol Hidratado,m3,1.062,2022-09-10
2015-12,AC,Etanol Hidratado,m3,1.196,2022-09-10
2016-01,AC,Etanol Hidratado,m3,799.0,2022-09-10
2016-02,AC,Etanol Hidratado,m3,674.0,2022-09-10
2016-03,AC,Etanol Hidratado,m3,621.0,2022-09-10
2016-04,AC,Etanol Hidratado,m3,590.0,2022-09-10
2016-05,AC,Etanol Hidratado,m3,473.0,2022-09-10
2016-06,AC,Etanol Hidratado,m3,470.0,2022-09-10
2016-07,AC,Etanol Hidratado,m3,463.0,2022-09-10
2016-08,AC,Etanol Hidratado,m3,572.0,2022-09-10
2016-09,AC,Etanol Hidratado,m3,710.0,2022-09-10
2016-10,AC,Etanol Hidratado,m3,917.0,2022-09-10
2016-11,AC,Etanol Hidratado,m3,640.0,2022-09-10
2016-12,AC,Etanol Hidratado,m3,677.0,2022-09-10
2017-01,AC,Etanol Hidratado,m3,672.0,2022-09-10
2017-02,AC,Etanol Hidratado,m3,610.0,2022-09-10
2017-03,AC,Etanol Hidratado,m3,625.0,2022-09-10
2017-04,AC,Etanol Hidratado,m3,610.0,2022-09-10
2017-05,AC,Etanol Hidratado,m3,625.0,2022-09-10
2017-06,AC,Etanol Hidratado,m3,400.0,2022-09-10
2017-07,AC,Etanol Hidratado,m3,315.0,2022-09-10
2017-08,AC,Etanol Hidratado,m3,477.0,2022-09-10
2017-09,AC,Etanol Hidratado,m3,502.0,2022-09-10
2017-10,AC,Etanol Hidratado,m3,568.0,2022-09-10
