uf,product,volume
PR,ETANOL HIDRATADO,27835354.61182
PR,GASOLINA C,61087031.7485
PR,GASOLINA DE AVIAÇÃO,125606.2012041
PR,GLP,27131356.42
PR,QUEROSENE DE AVIAÇÃO,4429934.111
PR,QUEROSENE ILUMINANTE,198909.74956722
PR,ÓLEO COMBUSTÍVEL,9871465.732431
PR,ÓLEO DIESEL,128833679.6859
RJ,ETANOL HIDRATADO,19676628.79066
RJ,GASOLINA C,64502839.9109
RJ,GASOLINA DE AVIAÇÃO,46583.86485385
RJ,GLP,31227568.56919
RJ,QUEROSENE DE AVIAÇÃO,28071134.8
RJ,QUEROSENE ILUMINANTE,271261.7849821
RJ,ÓLEO COMBUSTÍVEL,10500816.821426
RJ,ÓLEO DIESEL,73377706.8168
RN,ETANOL HIDRATADO,2217854.431231
RN,GASOLINA C,11604294.19626
RN,GASOLINA DE AVIAÇÃO,8155.105262234
RN,GLP,5926094.920402
RN,QUEROSENE DE AVIAÇÃO,2257248.818
RN,QUEROSENE ILUMINANTE,32713.2999003
RN,ÓLEO COMBUSTÍVEL,251914.14193202
RN,ÓLEO DIESEL,12090301.06561
RO,ETANOL HIDRATADO,800826.315326
RO,GASOLINA C,7765420.30042
RO,GASOLINA DE AVIAÇÃO,26238.626926171
RO,GLP,2427726.439324
RO,QUEROSENE DE AVIAÇÃO,831671.492
RO,QUEROSENE ILUMINANTE,14850.944
RO,ÓLEO COMBUSTÍVEL,530701.9794324826
RO,ÓLEO DIESEL,21923822.97879
RR,ETANOL HIDRATADO,87710.0417305
RR,GASOLINA C,2450773.206133
RR,GASOLINA DE AVIAÇÃO,34006.65082042
RR,GLP,557117.5745653
RR,QUEROSENE DE AVIAÇÃO,264039.18
RR,QUEROSENE ILUMINANTE,47.197
RR,ÓLEO COMBUSTÍVEL,4437.984859548
RR,ÓLEO DIESEL,4559391.267973
RS,ETANOL HIDRATADO,8311550.773559
RS,GASOLINA C,76597523.4036
RS,GASOLINA DE AVIAÇÃO,194903.98136639
RS,GLP,26322095.83955
RS,QUEROSENE DE AVIAÇÃO,4158111.622
RS,QUEROSENE ILUMINANTE,243847.9643899
RS,ÓLEO COMBUSTÍVEL,8193562.513275
RS,ÓLEO DIESEL,93598085.9633
SC,ETANOL HIDRATADO,7265020.591986
SC,GASOLINA C,52915561.2219
SC,GASOLINA DE AVIAÇÃO,34994.5745804
SC,GLP,16323753.38054
SC,QUEROSENE DE AVIAÇÃO,1975556.036
SC,QUEROSENE ILUMINANTE,172537.7780849
SC,ÓLEO COMBUSTÍVEL,5478860.790817
SC,ÓLEO DIESEL,61620260.819
SE,ETANOL HIDRATADO,1202537.354585
SE,GASOLINA C,7327514.06314
SE,GASOLINA DE AVIAÇÃO,1664.403476532
SE,GLP,3473400.995067
SE,QUEROSENE DE AVIAÇÃO,635754.312
SE,QUEROSENE ILUMINANTE,4288.304585339
SE,ÓLEO COMBUSTÍVEL,759015.2773048
SE,ÓLEO DIESEL,8779732.44465
SP,ETANOL HIDRATADO,180878243.7973
SP,GASOLINA C,249659777.33540002
SP,GASOLINA DE AVIAÇÃO,519163.525772
SP,GLP,104716178.6896
SP,QUEROSENE DE AVIAÇÃO,71322945.485
SP,QUEROSENE ILUMINANTE,1021627.1207697
SP,ÓLEO COMBUSTÍVEL,56072682.24127
SP,ÓLEO DIESEL,324244867.3509
TO,ETANOL HIDRATADO,970904.591248
TO,GASOLINA C,6185076.5826
TO,GASOLINA DE AVIAÇÃO,46663.51254095
TO,GLP,2480162.627828
TO,QUEROSENE DE AVIAÇÃO,182072.984
TO,QUEROSENE ILUMINANTE,570.284
TO,ÓLEO COMBUSTÍVEL,30276.686051737
TO,ÓLEO DIESEL,19266739.0426
