ano_mês,uf,produto,unid,volume,criado_em,ano
2006-09,AC,Gasolina de Aviação,m3,  60 ,2022-09-10,
2006-10,AC,Gasolina de Aviação,m3,  30 ,2022-09-10,
2006-11,AC,Gasolina de Aviação,m3,  60 ,2022-09-10,
2006-12,AC,Gasolina de Aviação,m3,  30 ,2022-09-10,
2007-01,AC,Gasolina de Aviação,m3,,2022-09-10,
2007-02,AC,Gasolina de Aviação,m3,,2022-09-10,
2007-03,AC,Gasolina de Aviação,m3,,2022-09-10,
2007-04,AC,Gasolina de Aviação,m3,,2022-09-10,
2007-05,AC,Gasolina de Aviação,m3,,2022-09-10,
2007-06,AC,Gasolina de Aviação,m3,,2022-09-10,
2007-07,AC,Gasolina de Aviação,m3,,2022-09-10,
2007-08,AC,Gasolina de Aviação,m3,,2022-09-10,
2007-09,AC,Gasolina de Aviação,m3,,2022-09-10,
2007-10,AC,Gasolina de Aviação,m3,,2022-09-10,
2007-11,AC,Gasolina de Aviação,m3,,2022-09-10,
2007-12,AC,Gasolina de Aviação,m3,,2022-09-10,
2008-01,AC,Gasolina de Aviação,m3,,2022-09-10,
2008-02,AC,Gasolina de Aviação,m3,,2022-09-10,
2008-03,AC,Gasolina de Aviação,m3,,2022-09-10,
2008-04,AC,Gasolina de Aviação,m3,,2022-09-10,
2008-05,AC,Gasolina de Aviação,m3,,2022-09-10,
2008-06,AC,Gasolina de Aviação,m3,,2022-09-10,
2008-07,AC,Gasolina de Aviação,m3,,2022-09-10,
2008-08,AC,Gasolina de Aviação,m3,,2022-09-10,
2008-09,AC,Gasolina de Aviação,m3,,2022-09-10,
2008-10,AC,Gasolina de Aviação,m3,,2022-09-10,
2008-11,AC,Gasolina de Aviação,m3,,2022-09-10,
2008-12,AC,Gasolina de Aviação,m3,,2022-09-10,
2009-01,AC,Gasolina de Aviação,m3,,2022-09-10,
2009-02,AC,Gasolina de Aviação,m3,,2022-09-10,
2009-03,AC,Gasolina de Aviação,m3,,2022-09-10,
2009-04,AC,Gasolina de Aviação,m3,,2022-09-10,
2009-05,AC,Gasolina de Aviação,m3,,2022-09-10,
2009-06,AC,Gasolina de Aviação,m3,,2022-09-10,
2009-07,AC,Gasolina de Aviação,m3,,2022-09-10,
2009-08,AC,Gasolina de Aviação,m3,,2022-09-10,
2009-09,AC,Gasolina de Aviação,m3,,2022-09-10,
2009-10,AC,Gasolina de Aviação,m3,,2022-09-10,
2009-11,AC,Gasolina de Aviação,m3,,2022-09-10,
2009-12,AC,Gasolina de Aviação,m3,,2022-09-10,
2010-01,AC,Gasolina de Aviação,m3,,2022-09-10,
2010-02,AC,Gasolina de Aviação,m3,,2022-09-10,
2010-03,AC,Gasolina de Aviação,m3,,2022-09-10,
2010-04,AC,Gasolina de Aviação,m3,,2022-09-10,
2010-05,AC,Gasolina de Aviação,m3,,2022-09-10,
2010-06,AC,Gasolina de Aviação,m3,,2022-09-10,
2010-07,AC,Gasolina de Aviação,m3,,2022-09-10,
2010-08,AC,Gasolina de Aviação,m3,,2022-09-10,
2010-09,AC,Gasolina de Aviação,m3,,2022-09-10,
2010-10,AC,Gasolina de Aviação,m3,,2022-09-10,
2010-11,AC,Gasolina de Aviação,m3,,2022-09-10,
2010-12,AC,Gasolina de Aviação,m3,,2022-09-10,
2011-01,AC,Gasolina de Aviação,m3,,2022-09-10,
2011-02,AC,Gasolina de Aviação,m3,,2022-09-10,
2011-03,AC,Gasolina de Aviação,m3,,2022-09-10,
2011-04,AC,Gasolina de Aviação,m3,,2022-09-10,
2011-05,AC,Gasolina de Aviação,m3,,2022-09-10,
2011-06,AC,Gasolina de Aviação,m3,,2022-09-10,
2011-07,AC,Gasolina de Aviação,m3,,2022-09-10,
2011-08,AC,Gasolina de Aviação,m3,,2022-09-10,
2011-09,AC,Gasolina de Aviação,m3,,2022-09-10,
2011-10,AC,Gasolina de Aviação,m3,,2022-09-10,
2011-11,AC,Gasolina de Aviação,m3,,2022-09-10,
2011-12,AC,Gasolina de Aviação,m3,,2022-09-10,
2012-01,AC,Gasolina de Aviação,m3,,2022-09-10,
2012-02,AC,Gasolina de Aviação,m3,,2022-09-10,
2012-03,AC,Gasolina de Aviação,m3,,2022-09-10,
2012-04,AC,Gasolina de Aviação,m3,,2022-09-10,
2012-05,AC,Gasolina de Aviação,m3,,2022-09-10,
2012-06,AC,Gasolina de Aviação,m3,,2022-09-10,
2012-07,AC,Gasolina de Aviação,m3,,2022-09-10,
2012-08,AC,Gasolina de Aviação,m3,,2022-09-10,
2012-09,AC,Gasolina de Aviação,m3,,2022-09-10,
2012-10,AC,Gasolina de Aviação,m3,,2022-09-10,
2012-11,AC,Gasolina de Aviação,m3,,2022-09-10,
2012-12,AC,Gasolina de Aviação,m3,,2022-09-10,
2013-01,AC,Gasolina de Aviação,m3,,2022-09-10,
2013-02,AC,Gasolina de Aviação,m3,,2022-09-10,
2013-03,AC,Gasolina de Aviação,m3,,2022-09-10,
2013-04,AC,Gasolina de Aviação,m3,,2022-09-10,
2013-05,AC,Gasolina de Aviação,m3,,2022-09-10,
2013-06,AC,Gasolina de Aviação,m3,,2022-09-10,
2013-07,AC,Gasolina de Aviação,m3,,2022-09-10,
2013-08,AC,Gasolina de Aviação,m3,,2022-09-10,
2013-09,AC,Gasolina de Aviação,m3,,2022-09-10,
2013-10,AC,Gasolina de Aviação,m3,,2022-09-10,
2013-11,AC,Gasolina de Aviação,m3,,2022-09-10,
